ID;Tipo;ROL;NOMBRE;RUT;DIRECCION;CODIGO_SII;ACTIVIDAD;FECHA_INGR;POINT_X;POINT_Y
381;INDUSTRIAL;1-002882;LOPEZ HENRIQUEZ RICHARD RENE;;VENTUS 1590;281900,000000;REPARACION MAQUINASDE SOLDARARRIENDOMANTENCIO;;-73,04985160000;-36,80454570000
382;INDUSTRIAL;1-002883;ALONSO MUNOZ TOMASA DEL CARMEN;;RENGO 578;960200,000000;PELUQUERIA;16/08/2007;-73,05281810000;-36,82655750000
383;INDUSTRIAL;1-002884;COMERCIAL SMARR SPA;76420298-8;BARROS ARANA  1200;960100,000000;LAVANDERIA;17/08/2;-73,04366540000;-36,82386090000
385;INDUSTRIAL;1-002890;SEPULVEDA GONZALEZ GLORIA JIMENA;;PEDRO DE VALDIVIA;960200,000000;PELUQUERIA;12;-73,05193030000;-36,84554720000
386;INDUSTRIAL;1-002892;TUV RHEINLAND ANDINO S.A.;79562730-8;GENERAL BONILLA  2010;952900,000000;PLANTA REVISION;;-73,00321470000;-36,82063110000
387;INDUSTRIAL;1-002896;MIRANDA GONZÚLEZ MANUEL HORACIO;;CAMINO A NONGUEN       1023;107100,000000;PANADERIAROTI;;-73,00809130000;-36,82119470000
388;INDUSTRIAL;1-002897;LOPEZ CARES IVAN;;SAN MARTIN  450;960200,000000;SALON DE BELLEZA;29/11/2007;-73,05169730000;-36,82969180000
389;INDUSTRIAL;1-002899;ORTEGA Y PILGRIN LIMITADA;76002870-3;LINCOYAN 1263;452002,000000;TALLER REP.MECANICA;;-73,05901000000;-36,82035000000
390;INDUSTRIAL;1-002900;GUERRERO SEPULVEDA Y CIA LTDA;76799460-5;CALLE 01 PARQUE INDUST.EJERCI 1;259900,000000;;;-73,01494280000;-36,76766250000
391;INDUSTRIAL;1-002907;CASTELLÓN OCARES RODRIGO IVÚN;;CAMINO A NONGUEN       1162;473000,000000;DEPOSITO LUBRI;;-73,00809130000;-36,82119470000
392;INDUSTRIAL;1-002909;FUENTEALBA OLAVARRIA NEFTALÍ CALEB;;TUCAPEL 1601;251100,000000;FAB.ESTRUCT.ALUMINIO;0;-73,05372920000;-36,81336720000
393;INDUSTRIAL;1-002917;CASTILLO SEGOVIA EDITA CORINA;;CHACABUCO  908;960200,000000;PELUQUERIA;25/03/2008;-73,04464290000;-36,82932870000
394;INDUSTRIAL;1-002918;TALLER ARTES.DE GUANTES Y  ART.DE SEG.CONCEP.L;76009660-1;BULNES 160;151200,000000;TALLER ARTESANIAS D;;-73,06057720000;-36,82323790000
395;INDUSTRIAL;1-002919;CORDERO CASTRO PEDRO EDUARDO;;LAUTARO 1722;259100,000000;TORNERIA MECANICA;09/04/2008;-73,04743840000;-36,80957550000
396;INDUSTRIAL;1-002932;COMERCIALIZADORA PORTAL MARCOS LIMITADA;76370008-9;O HIGGINS      756;107100,000000;PANADERIA;;-73,04836620000;-36,82715470000
397;INDUSTRIAL;1-002941;CID JARA IVAN EUGENIO;;FREIRE 734;477399,000000;REP.DE LENTES;02/09/2008;-73,05006150000;-36,82519370000
398;INDUSTRIAL;1-002949;AMPARO MORANT Y COMPAÑIA LIMITADA;76166234-1;FREIRE 788;141001,000000;FABRICACION DE PRENDAS DE VESTI;;-73,04949450000;-36,82494650000
399;INDUSTRIAL;1-002962;VALENCIA LORCA NANCY VERONICA;;CAUPOLICAN 567;960200,000000;PELUQUERIA;27/04/2009;-73,05191890000;-36,82637460000
400;INDUSTRIAL;1-002969;SOTO YÚÑEZ JUAN EVANGELISTA;;BRASIL 964;143000,000000;FABRICA DE CALZADO;19/05/2009;-73,05443170000;-36,81281560000
401;INDUSTRIAL;1-002970;CONSTANZO MONTERO ANSELMO OMAR;;TUCAPEL 1923;452002,000000;TALLER DE RESORTES;16/06/20;-73,05582740000;-36,80995640000
402;INDUSTRIAL;1-002971;PARDO CHACON JOAQUIN ALBERTO;;ANIBAL PINTO  343;952200,000000;TALLER DE RADIO Y TELEVISION;;-73,04893870000;-36,82800870000
403;INDUSTRIAL;1-002972;PALMA GONZALEZ JEANNETTE MARITZA;;21 DE MAYO 21;960200,000000;PELUQUERIAS Y SALONES DE BELLEZA;;-73,06958560000;-36,81303170000
404;INDUSTRIAL;1-002976;NEIRA MARTINEZ EDUARDO ENRIQUE;;EJERCITO 1418;251100,000000;FABRICACION DE PRODUCTOS METALICOS DE U;;-73,04910360000;-36,80922440000
405;INDUSTRIAL;1-002979;MOLINA VELOSO OSCAR ENRIQUE;;CENTRAL 10;107100,000000;FABRICA DE EMPANADAS;15/09/2009;-73,00779440000;-36,82225920000
406;INDUSTRIAL;1-002982;SALON DE BELLEZA MANOS Y PIES SPA.;76893478-9;CHACABUCO  365;960200,000000;|PELUQUERIA,MANICURE,PEDI;;-73,05163440000;-36,83196540000
407;INDUSTRIAL;1-002988;COMERCIAL ILUFI SALINAS COMPANIA LIMITADA;76180420-0;4;281900,000000;FABRICACION DE OTRO TIPO DE MAQUINARIAS;;-73,05043020000;-36,82613370000
408;INDUSTRIAL;1-002993;FIGUEROA OSSES PATRICIA DEL ROSARIO;;EJERCITO 2145;960909,000000;PELUQUERIA;01/06/201;-73,04213050000;-36,80597890000
409;INDUSTRIAL;1-002995;MELLA BELLO JOSE LEONARDO;;LORENZO ARENAS  242;452002,000000;TALLER MECANICO;13/0;-73,02910140000;-36,81083010000
410;INDUSTRIAL;1-002996;PAVIMENTOS QUILIN LIMITADA;77365420-4;GENERAL BONILLA   2598;81000,000000;EXTRACCION DE PIEDRA;;-73,02406320000;-36,81274240000
411;INDUSTRIAL;1-003000;COMERCIAL MENA LOYOLA SPA;76041604-5;VENTUS 1678;107100,000000;AMASANDERIA,PASTELERIA, ROTISERIA, PRO;;-73,04881750000;-36,80415260000
412;INDUSTRIAL;1-003001;SERVICIOS PROFESIONALES DE PELUQUERIA, SALUD Y BELLEZA ALFRE;76139155-0;PASO  HONDO  208;960200,000000;;;-73,05644770000;-36,78917640000
413;INDUSTRIAL;1-003006;FLORES TERZI ALEJANDRO JOSÉ LUIS;;EJERCITO 505;107100,000000;PANADERIA ROTISERIA FABRICA DE EMPANAD;;-73,06072020000;-36,81433260000
414;INDUSTRIAL;1-003009;TORRES MUNOZ NANCY DEL CARMEN;;CAMILO HENRIQUEZ  1924;960909,000000;PELUQUERIA;;-73,03978170000;-36,81455230000
415;INDUSTRIAL;1-003010;COMERCIAL Y SERVICIOS ASCENCIO FARIAS LIMITADA;76423389-1;ONGOLMO 1198;453000,000000;SERVICIO ELECTR;;-73,04787440000;-36,81651000000
416;INDUSTRIAL;1-003019;INGENIERIA Y SERVICIOS JAAR LIMITADA;76361928-1;JOSE MIGUEL GARCIA   230;281900,000000;MAEST;;-73,03046300000;-36,80854610000
417;INDUSTRIAL;1-003020;GONZALEZ OLAVE OLGA EDITH;;SAN MARTIN  585;960200,000000;PELUQUERIA;06/09/2011;-73,05043040000;-36,82907550000
418;INDUSTRIAL;1-003030;COMERCIAL E INDUSTRIAL PEPEPOK LIMITADA;78919240-5;ANDRES BELLO  113;152000,000000;FABRICA DE CAL;;-73,05811060000;-36,83497700000
419;INDUSTRIAL;1-003033;RODRIGO FAURE ROJAS CORRETAJE INMOBILIARIO EIRL;76221489-K;BARROS ARANA  565;681011,000000;PELUQU;;-73,05176240000;-36,82692790000
420;INDUSTRIAL;1-003038;INDUSTRIAL Y COMERCIAL METHAL LIMITADA;76222118-7;4;452002,000000;OFICINA ADM. Y TALLER MECANICO;;-73,05043020000;-36,82613370000
421;INDUSTRIAL;1-003043;PEREZ MARTINEZ MARTA ELENA;;FREIRE 522;960909,000000;SALON DE BELLEZA PELUQUERIA;14/02/2;-73,05281680000;-36,82633470000
422;INDUSTRIAL;1-003046;METALMECANICA MONTAJE INDUSTRIAL LIMITADA;76071583-2;PASAJE PAREDES  1240;251100,000000;TALLER;;-73,05203420000;-36,80949600000
423;INDUSTRIAL;1-003047;HENRIQUEZ ARIAS SONIA ELFRIDA;;FREIRE 522;960909,000000;PELUQUERIA;16/04/2013;-73,05281680000;-36,82633470000
424;INDUSTRIAL;1-003050;SÚNCHEZ MENDOZA ADELA DEL CARMEN;;BARROS ARANA  340;960200,000000;SALON DE BELLEZA,PELUQUERIA;;-73,05441800000;-36,82830400000
425;INDUSTRIAL;1-003052;PAVEZ CARCAMO MARIA ALEJANDRA;;SAN MARTIN  645;960909,000000;PELUQUERIA;10/07/2013;-73,04942710000;-36,82857970000
426;INDUSTRIAL;1-003054;GODOY TOLEDO MARCELO YACUD;;ARTURO FERNANDEZ   2724;452002,000000;VULCANIZACION,CAMBIO DE ACE;;-73,07237450000;-36,80803520000
427;INDUSTRIAL;1-003063;HERMOSILLA CASTILLO LILIANA MAGDALENA;;RENGO 578;960200,000000;PELUQUERIA Y SALON DE BELLEZA;;-73,05281810000;-36,82655750000
428;INDUSTRIAL;1-003065;HERNANDEZ CORTES ISNEIDY;;RENGO 578;960200,000000;SALON DE BELLEZA Y VENTA DE;04/04/2014;-73,05281810000;-36,82655750000
429;INDUSTRIAL;1-003068;SERVICIOS PROFESIONALES DE PELUQUERIA, SALUD Y BELLEZA ALFRE;76139155-0;CHACABUCO  689;960200,000000;;;-73,04778060000;-36,83017810000
430;INDUSTRIAL;1-003070;GUZMAN GONZALEZ JOEL ALEJANDRO;;ANIBAL PINTO  1163;829900,000000;TALLER ELECTRICO AUTOMOTRIZ;;-73,05441720000;-36,81972190000
431;INDUSTRIAL;1-003072;CARO CALFUMAN ENRIQUE SAMUEL;;CAUPOLICAN 874;259900,000000;TALLER DE HOJALATERIA Y;0;-73,05349850000;-36,82310580000
432;INDUSTRIAL;1-003073;LA CREM SPA;77606375-4;FREIRE 731;105000,000000;FABRICA DE HELADOS;10/11/2014;-73,05021570000;-36,82501070000
433;INDUSTRIAL;1-003077;PLASTICOS BESSALLE LTDA.;76047525-4;ANTIGUO CAMINO A BULNES;222000,000000;FABRICA DE PL;;-73,05114000000;-36,81916580000
434;INDUSTRIAL;1-003080;INVERSIONES VIMACH SPA;77552229-1;BULNES 1602;452002,000000;MANTENCION Y REPARACION DE;;-73,04254900000;-36,81564700000
435;INDUSTRIAL;1-003081;GENESIS SPA;77023142-6;JANEQUEO    1751;960100,000000;LAVADO Y LIMPIEZA INCLUIDA LA LIMPIEZA;;-73,04919120000;-36,81013310000
436;INDUSTRIAL;1-003082;SOCIEDAD CERVECERA CONCEPCION SPA;77462577-1;CAUPOLICAN 1661;110120,000000;ELABORACION DE CERVEZA;;-73,05902080000;-36,81531860000
437;INDUSTRIAL;1-003083;COMERCIALIZADORA Y DISTRIBUIDORA OSCAR SN MARTIN FIERRO EIRL;76754889-3;TUCAPEL 1645;472101,000000;E;;-73,05404390000;-36,81307260000
438;COMERCIAL;2-000001;ABASOLO Y COMPAÑIA LIMITADA;83285000-4;RENGO 599;475201,000000;FERRETERIA INDUSTRIA;01/0;-73,05312910000;-36,82648270000
439;COMERCIAL;2-000002;NÚÑEZ SOLAR TITO ARTURO;;JANEQUEO    714;471100,000000;MINIMERCADO;01/07/1900;-73,04244430000;-36,82034010000
440;COMERCIAL;2-000004;GUTIÉRREZ GONZÚLEZ ROSA ESTER;;LAS HERAS  2310;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,03221410000;-36,81377350000
441;COMERCIAL;2-000006;LOPEZ ARIAS LEYLA;;ANIBAL PINTO  310;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04841360000;-36,82840520000
442;COMERCIAL;2-000007;ALARCON CANALES JUANA ROSA;;ROOSEVELT;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,03635730000;-36,82284980000
443;COMERCIAL;2-000024;ANABALON RAMIREZ FERMIN EDUARDO;;LAS HERAS  1634;472109,000000;ROTISERIA;01/07/1900;-73,04051000000;-36,81761000000
444;COMERCIAL;2-000040;SANHUEZA MELLADO GLADYS;;FREIRE 777;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04968220000;-36,82484230000
445;COMERCIAL;2-000044;ARIAS ARRIAGADA ELVIRA DEL CARMEN;;MAIPU 550;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,05305980000;-36,82516880000
446;COMERCIAL;2-000047;SALAZAR GARRIDO MARTA ESTER;;O HIGGINS      301;477399,000000;DIARIOS Y REVISTAS;01/07/190;-73,05423690000;-36,82922400000
447;COMERCIAL;2-000064;BANCO DE CHILE;97004000-5;O HIGGINS   598;641910,000000;BANCO;01/07/1900;-73,05053350000;-36,82803340000
448;COMERCIAL;2-000065;ITAU CORPBANCA;97023000-9;O HIGGINS   630;641910,000000;BANCO;01/07/1900;-73,04999470000;-36,82786970000
449;COMERCIAL;2-000066;ITAU CORPBANCA;97023000-9;;641910,000000;BANCO;01/07/1900;-73,04439040000;-36,82013520000
450;COMERCIAL;2-000067;BANCO DE CREDITO E INVERSIONES;97006000-6;O HIGGINS   399;641910,000000;BANCO;01/07/190;-73,05376360000;-36,82876870000
451;COMERCIAL;2-000071;BANCO SANTANDER CHILE;97036000-K;O HIGGINS   560;641910,000000;BANCO;01/07/1900;-73,05089030000;-36,82837600000
452;COMERCIAL;2-000073;BANCO SANTANDER CHILE;97036000-K;BARROS ARANA  645;641910,000000;BANCO;01/07/1900;-73,05071120000;-36,82652370000
453;COMERCIAL;2-000074;BAQUEDANO MORALES JORGE;;O HIGGINS      608;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04930780000;-36,82768720000
454;COMERCIAL;2-000077;COMERCIAL LAS BRUJAS S.A.;84301800-9;OROMPELLO 645;477399,000000;OF ADMINISTRATIVA;1;-73,04596350000;-36,82280720000
455;COMERCIAL;2-000085;JARA MELLA ROSALINO;;ROZAS 1572;472101,000000;F DEL PAIS;01/07/1900;-73,04213060000;-36,81674730000
456;COMERCIAL;2-000087;AZÓCAR ANDRADE CARMEN LAVINIA;;CAUPOLICAN 321;477401,000000;GALERIA DE ARTE;01/07/1;-73,05034730000;-36,82875550000
457;COMERCIAL;2-000088;OPTICA BENOHR LIMITADA;79816640-9;O HIGGINS   539;477399,000000;INSTR OPTICOS;01/07/190;-73,05132680000;-36,82809140000
458;COMERCIAL;2-000094;EST.DE SERV SPLENDID LIMI TADA;84645600-7;COLLAO      500;452002,000000;REP Y ACCESORIOS AUT;1;-73,02440850000;-36,81726250000
459;COMERCIAL;2-000100;ALDO BANCALARI M Y COMPAÑIA LIMITADA;78919450-5;PAICAVI 255;862031,000000;CENTRO MEDICO;;-73,04097240000;-36,82582270000
460;COMERCIAL;2-000108;CABRERA BRAVO JUAN ALFREDO;;O HIGGINS   1141;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04375830000;-36,82498110000
461;COMERCIAL;2-000113;NCR CHILE LTDA.;91452000-2;TUCAPEL 564;477395,000000;AGENCIA CASA;01/07/1900;-73,04659230000;-36,82385930000
462;COMERCIAL;2-000114;COMERCIAL RAMON SANHUEZA Y CIA. LTDA;79571260-7;ANIBAL PINTO  739;522120,000000;PLAYA ESTACIONAMIENT;;-73,05164190000;-36,82395270000
463;COMERCIAL;2-000127;CARABONI ORTEGA JUAN ANTONIO;;EJERCITO 970;472102,000000;CARNICERIA EQUINO;01/07/1900;-73,05495640000;-36,81155280000
464;COMERCIAL;2-000130;KRUMM AHUMADA YOLANDA ALICIA;;O HIGGINS   654;472109,000000;CAFE;01/07/1900;-73,04969280000;-36,82781860000
465;COMERCIAL;2-000137;ACCESORIOS UNIVERSAL AUTOS LIMITADA;84807600-7;MAIPU 115;451002,000000;VTA REP AUTOS;01/0;-73,05868990000;-36,82741330000
466;COMERCIAL;2-000143;RETAMAL CAMPOS ROBERTO DEL CARMEN;;BARROS ARANA  645;477399,000000;DIARIOS Y REVISTAS, CONFITES,;;-73,05071120000;-36,82652370000
467;COMERCIAL;2-000144;CEBALLOS CESPED JORGE ARMANDO;;MAIPU 185;475909,000000;ART ELECTRICOS;01/07/1900;-73,05778030000;-36,82695950000
468;COMERCIAL;2-000146;COMERCIAL ESPAÑA LIMITADA;76386037-K;ARTURO PRAT  450;561000,000000;RESTAURANTE COMERCIAL;;-73,05826000000;-36,83043160000
469;COMERCIAL;2-000148;MEDINA DIAZ GLADYS;;JANEQUEO;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04547720000;-36,81555370000
470;COMERCIAL;2-000149;FUAD CHAURIYE Y COMPANIA LIMITADA;84832100-1;ANIBAL PINTO  570;475909,000000;PAQUETERIA;;-73,05015570000;-36,82567060000
471;COMERCIAL;2-000162;COMPAÑIA DE PETROLEOS DE CHILE - COPEC S. A.;99520000-7;EJERCITO 764;462010,000000;BGA CASA MAYORIS;;-73,05743880000;-36,81280020000
472;COMERCIAL;2-000165;CHILENA CONSOLIDADA SEGUROS  GENERALES  S.A.;99037000-1;O HIGGINS  330;651210,000000;CIA DE SEGUROS;;-73,05387640000;-36,82950380000
473;COMERCIAL;2-000172;COMPANIA MOLINERA EL GLOBO S. A.;90152000-3;O HIGGINS   241;466200,000000;CASA MAYORISTA;;-73,05514710000;-36,82946120000
474;COMERCIAL;2-000177;BAQUEDANO CONTRERAS ALEJANDR;;BARROS ARANA  600;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,05130500000;-36,82710190000
475;COMERCIAL;2-000190;BIO BIO COMUNICACIONES S.A;96516560-6;O HIGGINS      680;602000,000000;RADIODIFUSORA;;-73,04934800000;-36,82775800000
476;COMERCIAL;2-000192;FALABELLA RETAIL S. A.;77261280-K;BARROS ARANA  802;471910,000000;GRANDES TIENDAS;0;-73,04847460000;-36,82588070000
477;COMERCIAL;2-000197;VASQUEZ CABRERA BERTA ELENA;;FREIRE 511;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,05298140000;-36,82621920000
478;COMERCIAL;2-000207;PINO CARTES MARTA;;ELEUTERIO RAMIREZ  189;472101,000000;ALM DE PROVISIONES;01/;-73,05952580000;-36,83431870000
479;COMERCIAL;2-000208;DIARIO EL SUR S. A.;76564940-4;O HIGGINS   930;581100,000000;EMPRESA PERIODISTICA;01/07;-73,04624620000;-36,82624320000
480;COMERCIAL;2-000209;PAREDES INZUNZA HILDA    ENEDINA;;TUCAPEL 703;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04771690000;-36,82267040000
481;COMERCIAL;2-000220;EMPRESA NAC.DE TELECOMUNICACIONES SA;92580000-7;ROZAS 740;619090,000000;TELECOMUNICACIONES;01/07/19;-73,05272590000;-36,82136510000
482;COMERCIAL;2-000233;TURISMO ESQUERRE LIMITADA;83277100-7;BARROS ARANA  185;791100,000000;OF DE TURIMO;0;-73,05670270000;-36,82900780000
483;COMERCIAL;2-000234;ESQUERRE HERMANOS LIMITADA;80325400-1;ARTURO PRAT   930;477102,000000;DEP VENTAS FABRICA;;-73,06142120000;-36,82555240000
484;COMERCIAL;2-000242;JOSE FERNANDEZ MALO Y COMPANIA LIMITADA;83921300-K;MAIPU 655;471910,000000;GDES TIENDAS;0;-73,05171140000;-36,82460790000
485;COMERCIAL;2-000246;DURAN DONOSO JUAN NESTOR;;TUCAPEL 748;472109,000000;ROTISERIA;01/07/1900;-73,04746860000;-36,82218980000
486;COMERCIAL;2-000267;CENTRO DE DIAGNOSTICO POR IMAGENES SPA;79961440-5;LINCOYAN 264;862021,000000;CENTRO MEDICO;;-73,05199960000;-36,83011430000
487;COMERCIAL;2-000268;GAHONA GOMEZ JUAN DARIO;;BARROS ARANA  180;561000,000000;FUENTE DE SODA;01/07/1900;-73,05646040000;-36,82915060000
488;COMERCIAL;2-000271;CADENA RIFO CANTALICIO;;SOTOMAYOR 289;472200,000000;BEB.ANALCOHOLICAS;01/07/1900;-73,07385900000;-36,81398370000
489;COMERCIAL;2-000278;COMERCIALIZADORA PENSATO LIMITADA;77482910-5;FREIRE 740;477102,000000;ARTS. DAMAS;01/07/;-73,05002090000;-36,82511860000
490;COMERCIAL;2-000279;GARCIA SILVA Y COMPANIA LIMITADA;81539900-5;ANIBAL PINTO  673;561000,000000;FUENTE DE SODA;;-73,05106560000;-36,82466940000
491;COMERCIAL;2-000287;DISTRIBUIDORA DE INDUSTRIAS NACIONALES S. A.;82982300-4;BARROS ARANA  817;471910,000000;GRANDES T;;-73,04863890000;-36,82574140000
492;COMERCIAL;2-000292;GEORGI Y COMPAÑIA LIMITADA;83925600-0;ANIBAL PINTO  450;464904,000000;REVISTAS,LIBRERIA Y VENTA;;-73,04887370000;-36,82623270000
493;COMERCIAL;2-000298;FINNING CHILE S. A.;91489000-4;COMODORO PARRAGUEZ  3166;477395,000000;AG CASA IMPORTADORA;;-73,02473310000;-36,80835760000
494;COMERCIAL;2-000309;FERNANDO DIAZ Y CIA LTDA.;79665650-6;SAN MARTIN  980;862021,000000;CENTRO MEDICO;01/0;-73,04507040000;-36,82710930000
495;COMERCIAL;2-000311;GONZALEZ MALDONADO MARIO RICARDO;;RENGO 618;477103,000000;MALETERIA;01/07/1900;-73,05310470000;-36,82609260000
496;COMERCIAL;2-000312;COMERCIAL FAGOSE Y COMPANIA LIMITADA;79598350-3;SALAS   669;465909,000000;RPTOS Y ACCESORIOS;;-73,05736900000;-36,82726470000
497;COMERCIAL;2-000319;COMERCIAL PEREZ DE LA FUENTE LTDA;77519600-9;MAIPU 684;471910,000000;GRANDES TIENDAS;01/0;-73,05138810000;-36,82455240000
498;COMERCIAL;2-000320;COMERCIAL MARIO HAMMERSLEY POPP Y COMPANIA LIMITADA;77543060-5;COCHARANE 635;477399,000000;OPTICA,;;-73,04887520000;-36,82952460000
499;COMERCIAL;2-000336;CASTILLO VILLAGRAN TERESA;;INGLESA  239;472101,000000;ALM DE PROVISIONES;01/07/1900;-73,04618500000;-36,85201750000
500;COMERCIAL;2-000339;HERMOSILLA ULLOA CLAUDIO ALFREDO;;ACEVEDO HERNANDEZ  2342;472200,000000;BEBIBAS ANALCOHOLIC;;-73,04762730000;-36,79718090000
501;COMERCIAL;2-000343;ZURITA ALARCON CARMEN;;CAUPOLICAN 501;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,05146450000;-36,82677350000
502;COMERCIAL;2-000345;LOPEZ MUNDACA GRACIELA DEL CARMEN;;RENGO 702;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,05349690000;-36,82535610000
503;COMERCIAL;2-000346;HIDALGO NEIRA CELINDO DIEGO;;RENGO 1760;472101,000000;ALM DE PROVISIONES;01/07/1900;-73,06032140000;-36,81473990000
504;COMERCIAL;2-000357;ITAIM Y CIA LTDA;80497600-0;BARROS ARANA  428;475100,000000;TIENDA DE GENEROS;01/07;-73,05314100000;-36,82788100000
505;COMERCIAL;2-000368;JIMENEZ ARRIOLA JORGE ENRIQUE;;O HIGGINS   465;476103,000000;LIBRERIA;01/07/1900;-73,05245220000;-36,82831290000
506;COMERCIAL;2-000374;LAVIN Y COMPANIA LIMITADA;77270640-5;INTERLAGUNAS   455;477399,000000;VTA.EQUIPOS POS C/IN;;-73,06299490000;-36,81293350000
507;COMERCIAL;2-000400;ACUNA ROA LUIS;;CAUPOLICAN 308;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04979130000;-36,82864650000
508;COMERCIAL;2-000401;LEPE SEPULVEDA RAUL ALBERTO;;TUCAPEL 603;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04689990000;-36,82387810000
509;COMERCIAL;2-000410;MACAYA Y CIA LTDA.;83978900-9;GALERIA ALESSANDRI;475909,000000;DISCOS;01/07/1900;-73,04940540000;-36,82682480000
510;COMERCIAL;2-000422;CASA MARISIO SPA;84645500-0;BARROS ARANA  605;477394,000000;JOYERIAARTS PLAQUELOZA CRISTALESGAFAS;;-73,05089200000;-36,82683200000
511;COMERCIAL;2-000426;ALIMENTOS FRUNA LIMITADA;84156500-2;LOS CARRERA  528;561000,000000;FUENTE DE SODA;1;-73,05379000000;-36,82435000000
512;COMERCIAL;2-000431;SUCESION CLARA GLADYS MATUS CAMPOS;53230400-8;ANIBAL PINTO  1502;471100,000000;MINIMERCADO;;-73,05651530000;-36,81558550000
513;COMERCIAL;2-000434;MEDINA SANHUEZA MARÍA FERNANDA;;TUCAPEL 474;477399,000000;QUIOSCO DIARIOS Y REVISTAS;01/07/1900;-73,04600000000;-36,82474500000
514;COMERCIAL;2-000442;MENDOZA FICA INES;;GALERIA ADAUY  565;475909,000000;PAQUETERIA;01/07/1900;-73,05045060000;-36,82575130000
515;COMERCIAL;2-000445;ESTABLECIMIENTOS LLANQUIHUE S. A.;96505360-3;ANIBAL PINTO  585;561000,000000;FUENTE DE SODA;;-73,05057500000;-36,82554470000
516;COMERCIAL;2-000446;SEPULVEDA CARTES CATALINA;;ANIBAL PINTO  402;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04919650000;-36,82717950000
517;COMERCIAL;2-000449;AUTOMOVILES SAN CRISTOBAL ASTETE Y SEGUEL LIMITADA;79615520-5;CHACABUCO  1145;451002,000000;C/VTA D;;-73,04193440000;-36,82771270000
518;COMERCIAL;2-000450;BRUNO FRITSCH S. A.;84807200-1;PAICAVI  2222;451001,000000;VENTA DE VEHICULOS;01/07/190;-73,05308930000;-36,80528610000
519;COMERCIAL;2-000461;YUNIS HERMANOS Y CIA LTDA;87824900-3;FREIRE 757;522120,000000;PLAYA ESTACIONAMIENT;01/07;-73,04986150000;-36,82501960000
520;COMERCIAL;2-000462;PINTURAS TRICOLOR S. A.;76182739-1;PAICAVI 1602;477399,000000;BODEGA COMERCIAL PINTURAS;;-73,04908270000;-36,81155720000
521;COMERCIAL;2-000468;MORA FIGUEROA DELFIN NELSON;;O HIGGINS      798;477399,000000;DIARIOS Y REVISTAS;01/07/190;-73,04804700000;-36,82687810000
522;COMERCIAL;2-000476;LEAL SILVA ALEX PATRICIO;;ANIBAL PINTO  531;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,05009500000;-36,82613020000
523;COMERCIAL;2-000477;MUÑOZ GONZALEZ PEDRO LAUREANO;;CAUPOLICAN 628;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,05202700000;-36,82553500000
524;COMERCIAL;2-000478;SALDAÑA CACERES EMILIO HERNAN;;CAUPOLICAN 887;472101,000000;ALM DE PROVISIONESFRUTAS VERDURASTOST;;-73,05381570000;-36,82307390000
525;COMERCIAL;2-000480;MANPOWER SERVICIOS INTEGRALES SPA;80581500-0;CHACABUCO 782;960909,000000;SERV.TEMPORARIOS;;-73,04621300000;-36,83003940000
526;COMERCIAL;2-000493;MUNOZ MARDONES PREBISTO DEL TRANSIT;;CASTELLON 615;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,04826100000;-36,82405140000
527;COMERCIAL;2-000501;YANEZ ALVARADO MARIA MERCEDES;;RENGO 423;477399,000000;DIARIOS Y REVISTAS;01/07/1900;-73,05200700000;-36,82811490000
528;COMERCIAL;2-000519;ORREGO ROLDAN ALEJANDRO CIPRIANO FERNANDO;;ANIBAL PINTO  450;476103,000000;LIBRERIA;;-73,04887370000;-36,82623270000
529;COMERCIAL;2-000524;SAN MARTIN GARRIDO DANIEL GERARDO;;CAUPOLICAN 740;472109,000000;ROTISERIA;01/01/1993;-73,05255720000;-36,82437920000
530;COMERCIAL;2-000530;CARMEN PAEZ E HIJO LIMITADA;89549300-7;ANIBAL PINTO  565;475909,000000;BOTONERIA;1;-73,05042010000;-36,82568560000
531;COMERCIAL;2-000532;PALMA MONTALBA JESSIE AÍDA;;TUCAPEL 1460;471100,000000;MINIMERCADO;01/07/1993;-73,05226480000;-36,81471930000
532;COMERCIAL;2-000539;IMPORTADORA HECTOR PASTORINI MARISIO E HIJOS LIMITADA;76436162-8;CAUPOLICAN 514;477394,000000;JOYE;;-73,05119330000;-36,82668950000
